Latency,Rise-Time,Amplitude,Events,Pleasantness_class
2.6484375,3.140625,0.09642113393215679,1.0,pleasant
1.76171875,4.31640625,0.425310462114509,-1.0,pleasant
1.9375,2.2734375,0.1824532470333695,2.0,unpleasant
0.1328125,5.4140625,0.3639422203572609,0.0,pleasant
1.5859375,3.2421875,0.4499690135715424,-1.0,unpleasant
2.4765625,1.9375,0.101093223928667,-1.0,unpleasant
2.36328125,3.10546875,0.4027488739129574,0.0,pleasant
2.26171875,3.54296875,0.1318090286994442,1.0,pleasant
0.0,0.0,0.0,2.0,pleasant
0.93359375,1.078125,0.01509097888036148,1.0,pleasant
2.0546875,2.9296875,0.1166374099141323,-1.0,pleasant
1.953125,2.80078125,0.2451034497692182,-1.0,unpleasant
2.6875,2.08984375,0.06389027911586487,-2.0,pleasant
2.671875,2.2578125,0.0788782934636505,0.0,unpleasant
2.36328125,2.01953125,0.1052271451906126,-1.0,pleasant
1.9296875,1.54296875,0.03017406426458158,-2.0,pleasant
1.21875,4.015625,0.2468485182836724,2.0,unpleasant
2.33203125,1.8359375,0.05867876529152904,1.0,pleasant
0.28515625,4.92578125,0.4512014489457026,0.0,pleasant
2.15234375,4.5546875,0.2166374377259475,-1.0,pleasant
